metric,value
dataset_path,data/final_datasets/merged_severity_dataset_not_keyword_keyword.csv
text_column,content
severity_column,severity
n_rows_raw,1294
n_columns_raw,10
column_names,url|author|content|severity|created|gpt_label|claude_label|gemini_label|llama_label|mistral_label
n_content_missing,0
n_content_empty_or_whitespace,0
n_severity_missing,0
n_rows_after_dropna,1294
n_rows_removed_by_dropna,0
n_duplicate_full_rows,0
n_duplicate_content,0
n_unique_content,1294
n_duplicate_texts_with_conflicting_labels,0
char_len_mean,304.04
char_len_median,282.0
char_len_min,7
char_len_max,898
word_len_mean,59.67
word_len_median,55.0
word_len_min,2
word_len_max,191
n_class_0_Non-Crisis,351
n_class_1_Implicit_Crisis,324
n_class_2_Explicit_Crisis,619
n_severity_0,351
n_severity_1,324
n_severity_2,302
n_severity_3,72
n_severity_4,37
n_severity_5,50
n_severity_6,158
